what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode",1252678043200
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1252678043200
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1252678043200
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1252678043200
java.vm.specification.version,sysinfo,,,"1.0",1252678043200
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1252678043200
java.vm.version,sysinfo,,,"14.0-b16",1252678043200
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.monitor.ui",1252678043410
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1252678043666
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1252678043681
started,bundle,org.eclipse.team.cvs.ui,3.3.200.I20090521-1750,"org.eclipse.team.cvs.ui",1252678043837
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1252678043903
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1252678043941
closed,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1252678043957
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252678052122
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252678053286
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200906161748,"org.eclipse.cdt.debug.mi.ui",1252678054179
stopped,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200906161748,"org.eclipse.cdt.debug.mi.core",1252678054258
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.200906161748,"org.eclipse.cdt.dsf.gdb.ui",1252678054267
stopped,bundle,org.eclipse.cdt.dsf.ui,2.0.0.200906161748,"org.eclipse.cdt.dsf.ui",1252678054318
